GeneSetId,GeneCount,Chromosome,RangeStart,RangeEnd,TotalFragments,Duplicates,SupportingTrans,Unspliced,AltSJ,Chimeric,LowMapQual,ForwardStrand,ReverseStrand,Genes
1_0,1,1,18957500,19075360,3836,1449,1,3,0,3,0,0,1,PAX7
2_0,1,2,29415640,30144432,2467,2013,919,525,73,16,16,440,479,ALK
8_0,1,8,31496902,32622548,3034,2552,1247,306,91,22,41,699,548,NRG1
4_0,1,4,1795034,1810599,13887,11328,7231,757,897,1,159,3693,3538,FGFR3
13_0,1,13,28577411,28674729,23049,19847,13564,2352,3219,9,541,6467,7097,FLT3
15_0,1,15,88418230,88799999,21777,19094,14254,1649,1737,10,192,6716,7538,NTRK3
18_0,1,18,60790579,60987361,56050,47487,38874,2546,465,20,174,18663,20211,BCL2
6_0,1,6,117609463,117747018,132349,115230,84954,7143,15483,41,1740,40713,44241,ROS1
13_1,1,13,28874489,29069265,136801,117287,64689,33189,9450,22,1358,31135,33554,FLT1
6_1,1,6,151977826,152450754,13373,11045,7906,1495,534,4,194,4134,3772,ESR1
9_0,1,9,4985033,5128183,156186,133836,99400,13165,14563,53,2113,51697,47703,JAK2
12_0,1,12,58141510,58149796,104621,93239,66235,6960,9169,50,1711,31841,34394,CDK4
13_2,1,13,32889611,32973805,23056,18620,15211,1467,861,2,130,7909,7302,BRCA2
21_0,1,21,39751949,40033704,46593,39659,29924,3836,2331,5,631,14624,15300,ERG
7_0,1,7,13930853,14031050,105510,90260,72554,4356,7544,53,1133,34642,37912,ETV1
X_0,1,X,66764465,66950461,69561,58804,46387,3772,995,30,643,23753,22634,AR
9_1,1,9,20341663,20622542,71636,60000,45346,6012,4502,42,1887,22230,23116,MLLT3
3_0,1,3,12328867,12475855,150283,132470,95398,15839,9383,45,1893,49589,45809,PPARG
21_1,1,21,42836478,42903043,65235,57337,42183,4156,5253,11,843,20052,22131,TMPRSS2
5_0,1,5,149432854,149492935,270245,244926,176003,11259,31013,618,3505,85124,90879,CSF1R
9_2,1,9,87283466,87638505,121424,103330,84005,4172,3960,25,799,43601,40404,NTRK2
2_1,1,2,42396490,42559688,364616,322519,236547,25778,28659,140,4923,123570,112977,EML4
10_0,1,10,32297938,32345359,530338,466466,345298,28822,61745,157,6195,167674,177624,KIF5B
10_1,1,10,43572475,43625799,4518,2704,1071,126,116,0,6,537,534,RET
2_2,1,2,47630108,47789450,63152,49907,30739,2027,3398,17,684,15663,15076,MSH2
2_3,1,2,223064607,223163715,17994,11646,42,0,5,0,0,22,20,PAX3
3_1,1,3,12625100,12705725,215282,189701,110090,14016,16269,33,1814,52070,58020,RAF1
9_3,1,9,133589333,133763062,241139,210954,158268,10406,9686,60,1545,82479,75789,ABL1
10_2,1,10,123237848,123357972,33683,28106,20545,2476,2437,21,644,9775,10770,FGFR2
17_0,1,17,37844167,37886679,282748,253728,190532,12254,33276,79,3811,100534,89998,ERBB2
17_1,1,17,41196312,41277500,38230,31835,24654,2655,2052,1,891,12032,12622,BRCA1
22_0,1,22,29663998,29696515,335484,303463,221386,18033,39662,73,12228,115478,105908,EWSR1
3_2,1,3,178865902,178957881,194261,169507,101193,10412,11552,65,2700,51859,49334,PIK3CA
17_2,1,17,41605212,41656988,25289,21086,13501,1621,2875,14,307,6295,7206,ETV4
7_1,1,7,55086714,55324313,476577,424973,327842,24930,34347,152,4503,170760,157082,EGFR
3_3,1,3,185764097,185828107,71683,61618,48393,3736,5391,66,992,23234,25159,ETV5
8_1,1,8,38268656,38326352,250539,222489,165668,11457,23930,52,2673,78623,87045,FGFR1
9_4,1,9,139388896,139440314,341443,305034,228910,17764,31387,159,5346,108891,120019,NOTCH1
17_3,1,17,57970447,58027925,130068,110824,86014,12417,6728,49,3557,44968,41046,RPS6KB1
4_1,1,4,55095264,55164414,822756,741871,575011,25276,57696,256,6940,299020,275991,PDGFRA
8_2,1,8,128747680,128753674,153683,135039,102988,8935,3776,59,1539,53811,49177,MYC
19_0,1,19,15270444,15311792,929455,841988,624027,38855,86974,176,10683,296864,327163,NOTCH3
4_2,1,4,55524085,55606881,75210,64560,50216,4510,5348,33,1120,25740,24476,KIT
4_3,1,4,55944644,55991756,56537,49661,35598,3063,6567,14,761,16906,18692,KDR
11_0,1,11,118307205,118397539,975059,865804,686164,41220,33946,307,8118,357476,328688,KMT2A
1_1,1,1,120454176,120612240,1338948,1213074,849040,62003,62160,408,41109,408675,440365,NOTCH2
19_1,1,19,41725108,41767671,318810,283899,206180,18169,28349,156,3238,106834,99346,AXL
1_2,1,1,156785432,156851642,137534,120871,2232,830,390,1,70,1128,1104,NTRK1
1_3,1,1,243651535,244014381,254498,217206,138806,36273,13463,130,1850,67243,71563,AKT3
7_2,1,7,116312444,116438440,775918,697262,547822,28976,47330,271,7608,285441,262381,MET
7_3,1,7,140419127,140624564,99850,87779,58943,10122,12698,35,1613,28304,30639,BRAF
5_1,1,5,149493400,149535435,1379612,1266619,903026,82783,109786,858,15840,431287,471739,PDGFRB
5_2,1,5,176513887,176525145,14248,11894,7219,1076,1410,19,146,3740,3479,FGFR4
11_1,1,11,128328656,128457453,674568,607000,453622,36661,27867,247,5936,219145,234477,ETS1
11_2,1,11,128556430,128683162,103553,90752,70350,6601,4573,58,1403,36627,33723,FLI1
