GeneId,GeneName,Chromosome,Strand,Position,Type,FragCount,SplicedFragCount,TotalDepth,TranscriptInfo
ENSG00000171094,ALK,2,-1,29416788,ACCEPTOR,13,1,15,ENST00000389048-29
ENSG00000171094,ALK,2,-1,29419636,DONOR,5,0,18,ENST00000389048-28
ENSG00000171094,ALK,2,-1,29420542,ACCEPTOR,17,0,20,ENST00000389048-27
ENSG00000171094,ALK,2,-1,29430037,DONOR,3,0,4,ENST00000389048-26
ENSG00000171094,ALK,2,-1,29430138,ACCEPTOR,4,0,5,ENST00000389048-26
ENSG00000171094,ALK,2,-1,29432652,DONOR,7,0,9,ENST00000389048-25
ENSG00000171094,ALK,2,-1,29436850,DONOR,3,0,7,ENST00000389048-24
ENSG00000157168,NRG1,8,1,32453523,DONOR,3,2,5,ENST00000518104-2;ENST00000519301-2;ENST00000520407-2;ENST00000523534-2;ENST00000523079-2;ENST00000287842-2;ENST00000521670-2;ENST00000405005-2;ENST00000338921-2;ENST00000356819-2;ENST00000287845-2;ENST00000341377-2
ENSG00000157168,NRG1,8,1,32585596,DONOR,6,2,42,ENST00000518104-5;ENST00000519301-4;ENST00000520407-4;ENST00000523534-6;ENST00000523079-6;ENST00000287842-6;ENST00000521670-6;ENST00000405005-6;ENST00000518206-4;ENST00000522569-3;ENST00000520502-2;ENST00000518084-2;ENST00000522402-2;ENST00000519240-2;ENST00000338921-6;ENST00000356819-6;ENST00000287845-4;ENST00000341377-6;ENST00000539990-2
ENSG00000157168,NRG1,8,1,32599526,ACCEPTOR,3,0,17,ENST00000521670-7;ENST00000405005-7;ENST00000518206-5;ENST00000522402-3;ENST00000338921-7;ENST00000341377-7
ENSG00000157168,NRG1,8,1,32599593,DONOR,4,0,10,ENST00000521670-7;ENST00000405005-7;ENST00000518206-5;ENST00000522402-3;ENST00000338921-7;ENST00000341377-7
ENSG00000157168,NRG1,8,1,32611992,DONOR,3,2,9,ENST00000338921-9;ENST00000518104-8;ENST00000519301-7;ENST00000523534-9;ENST00000523079-8;ENST00000287842-8;ENST00000521670-8;ENST00000405005-8;ENST00000522569-5;ENST00000522402-4;ENST00000519240-4;ENST00000356819-9;ENST00000287845-7;ENST00000341377-9;ENST00000539990-4
ENSG00000068078,FGFR3,4,1,1801474,ACCEPTOR,3,1,47,ENST00000481110-4;ENST00000260795-3;ENST00000352904-3;ENST00000340107-4;ENST00000440486-4;ENST00000412135-4
ENSG00000068078,FGFR3,4,1,1803263,DONOR,3,2,32,ENST00000481110-5;ENST00000260795-4;ENST00000352904-4;ENST00000340107-5;ENST00000440486-5;ENST00000412135-5;ENST00000507588-1
ENSG00000068078,FGFR3,4,1,1803347,ACCEPTOR,4,0,34,ENST00000481110-6;ENST00000260795-5;ENST00000352904-5;ENST00000507588-2;ENST00000340107-6;ENST00000440486-6;ENST00000412135-6
ENSG00000068078,FGFR3,4,1,1804641,ACCEPTOR,7,0,24,ENST00000474521-3;ENST00000340107-8
ENSG00000068078,FGFR3,4,1,1805419,ACCEPTOR,15,0,19,ENST00000507588-4;ENST00000481110-8;ENST00000260795-7;ENST00000440486-8
