GeneId,GeneName,Chromosome,GeneLength,IntronicLength,TranscriptCount,GeneSetId,SplicedFragments,UnsplicedFragments,AdjTPM,RawTPM,FitResiduals,LowMapQualFrags
ENSG00000182944,EWSR1,22,32517,22205,21,22_0,210281,22271,1.326e+02,7.504e+04,88393.8,12228.0
ENSG00000171094,ALK,2,728792,721944,4,2_0,942,502,1.531e-01,8.384e+01,643.8,16.0
ENSG00000143924,EML4,2,163198,154867,9,2_1,232235,28140,3.267e+01,2.272e+04,38083.0,4923.0
ENSG00000095002,MSH2,2,159342,154809,6,2_2,30270,2166,5.939e+00,4.556e+03,8340.0,684.0
ENSG00000135903,PAX3,2,99108,94484,10,2_3,42,0,1.365e-02,2.872e+01,40.1,0.0
ENSG00000132170,PPARG,3,146988,142956,15,3_0,92684,17964,3.076e+01,3.407e+04,45936.3,1893.0
ENSG00000132155,RAF1,3,80625,72796,14,3_1,108580,14709,4.243e+01,2.201e+04,40173.6,1814.0
ENSG00000121879,PIK3CA,3,91979,82591,4,3_2,98025,12512,7.614e+00,1.502e+04,53055.3,2700.0
ENSG00000244405,ETV5,3,64010,58228,15,3_3,47700,4097,9.164e+00,6.681e+03,9852.5,992.0
ENSG00000047936,ROS1,6,137555,129744,3,6_0,83573,7655,1.153e+00,5.175e+03,6575.3,1740.0
ENSG00000091831,ESR1,6,472928,459317,13,6_1,7727,1552,3.722e+00,1.192e+03,1251.2,194.0
ENSG00000096968,JAK2,9,143150,137109,5,9_0,96982,14605,6.653e+00,1.001e+04,17206.9,2113.0
ENSG00000171843,MLLT3,9,280879,272766,10,9_1,44640,6452,6.611e+00,6.313e+03,14773.2,1887.0
ENSG00000148053,NTRK2,9,355039,338095,9,9_2,83560,4367,5.193e+00,6.295e+03,6982.3,799.0
ENSG00000097007,ABL1,9,173729,167465,3,9_3,157778,10499,2.698e+01,1.666e+04,13678.4,1545.0
ENSG00000148400,NOTCH1,9,51418,41572,3,9_4,223725,20791,1.571e+01,1.109e+04,9810.7,5346.0
ENSG00000141736,ERBB2,17,42512,32222,24,17_0,186726,14325,8.721e+01,3.142e+04,68844.3,3811.0
ENSG00000012048,BRCA1,17,81188,72936,31,17_1,23814,3323,5.098e+00,2.983e+03,8822.7,891.0
ENSG00000175832,ETV4,17,51776,48184,11,17_2,13281,1679,1.536e+01,3.409e+03,5919.8,307.0
ENSG00000108443,RPS6KB1,17,57478,49850,12,17_3,84941,12784,2.045e+01,1.425e+04,23253.7,3557.0
ENSG00000009709,PAX7,1,117860,111556,3,1_0,1,3,2.312e-04,2.873e-01,2.0,0.0
ENSG00000134250,NOTCH2,1,158064,141298,6,1_1,842514,68141,8.865e+01,5.378e+04,159757.3,41109.0
