GeneId,GeneName,TransId,TransName,ExonCount,TranscriptLength,EffectiveLength,FittedFragments,RawFittedFragments,AdjTPM,RawTPM,TranscriptBasesCovered,SJSupported,UniqueSJSupported,UniqueSJFragments,UniqueNonSJFragments,DiscordantFragments,LowMapQualFrags
ENSG00000182944,EWSR1,2319585,ENST00000444626,5,560,440,36.2,39.0,5.980e+01,3.727e+01,519,4,1,27,0,0,2.0
ENSG00000182944,EWSR1,2320665,ENST00000397938,17,2654,2534,3726.4,3323.9,1.068e+03,6.654e+02,2620,16,0,0,0,395,174.7
ENSG00000182944,EWSR1,2320695,ENST00000436425,7,553,433,0.0,0.0,2.315e-05,1.443e-05,553,6,0,0,0,201,0.0
ENSG00000182944,EWSR1,2320703,ENST00000447973,7,582,462,0.0,0.0,9.998e-05,6.231e-05,582,4,0,0,0,203,0.0
ENSG00000182944,EWSR1,2320725,ENST00000485037,5,479,359,77.6,118.9,1.570e+02,9.786e+01,478,4,0,12,0,0,6.3
ENSG00000182944,EWSR1,2320817,ENST00000406548,17,2207,2087,41628.3,45414.1,1.448e+04,9.025e+03,2207,16,0,0,0,393,2386.7
ENSG00000182944,EWSR1,2320826,ENST00000437155,8,933,813,16305.0,19263.6,1.456e+04,9.074e+03,933,7,0,60,0,333,1012.4
ENSG00000182944,EWSR1,2320833,ENST00000415761,6,587,467,16479.0,21402.1,2.562e+04,1.597e+04,587,5,1,544,0,91,1124.8
ENSG00000182944,EWSR1,2320844,ENST00000331029,15,2267,2147,28754.1,23466.6,9.724e+03,6.060e+03,2265,13,0,0,0,392,1233.3
ENSG00000182944,EWSR1,2320858,ENST00000483415,8,3231,3111,17470.1,15069.7,4.077e+03,2.541e+03,1958,7,0,0,0,366,792.0
ENSG00000182944,EWSR1,2320923,ENST00000414183,18,2189,2069,12184.6,13040.2,4.276e+03,2.665e+03,2189,17,0,0,0,394,685.3
ENSG00000182944,EWSR1,2320981,ENST00000333395,9,1265,1145,35601.2,30836.1,2.257e+04,1.407e+04,1265,7,0,0,0,366,1620.6
ENSG00000182944,EWSR1,2321026,ENST00000455726,7,710,590,10618.9,13477.5,1.307e+04,8.143e+03,710,6,0,0,0,179,708.3
ENSG00000182944,EWSR1,2321031,ENST00000332035,16,1989,1869,14400.5,15132.2,5.594e+03,3.486e+03,1989,15,0,0,0,270,795.3
ENSG00000182944,EWSR1,2321049,ENST00000493426,4,581,461,0.0,0.0,7.761e-22,4.837e-22,143,2,0,0,0,0,0.0
ENSG00000182944,EWSR1,2321154,ENST00000479135,12,7285,7165,211.7,354.1,2.145e+01,1.337e+01,3843,11,0,23,0,222,18.6
ENSG00000182944,EWSR1,2321165,ENST00000469669,8,2630,2510,794.9,901.8,2.299e+02,1.433e+02,2628,7,0,0,0,28,47.4
ENSG00000182944,EWSR1,2321185,ENST00000483629,7,1818,1698,2981.8,3191.2,1.275e+03,7.946e+02,1814,6,0,0,0,17,167.7
