GeneId,GeneName,TransId,TransName,ExonCount,TranscriptLength,EffectiveLength,FittedFragments,RawFittedFragments,AdjTPM,RawTPM,TranscriptBasesCovered,SJSupported,UniqueSJSupported,UniqueSJFragments,UniqueNonSJFragments,DiscordantFragments,LowMapQualFrags
ENSG00000182944,EWSR1,2319585,ENST00000444626,5,560,440,21.7,21.4,7.621e+01,2.779e+01,553,4,1,14,0,0,1.3
ENSG00000182944,EWSR1,2320665,ENST00000397938,17,2654,2534,4360.6,4518.1,2.658e+03,9.692e+02,2651,16,0,0,0,259,272.8
ENSG00000182944,EWSR1,2320695,ENST00000436425,7,553,433,0.0,0.0,2.485e-02,9.062e-03,553,6,0,0,0,189,0.0
ENSG00000182944,EWSR1,2320703,ENST00000447973,7,582,462,0.0,0.0,5.170e-02,1.885e-02,582,5,0,0,0,189,0.0
ENSG00000182944,EWSR1,2320725,ENST00000485037,5,479,359,52.3,87.2,2.251e+02,8.207e+01,475,4,0,4,0,0,5.3
ENSG00000182944,EWSR1,2320817,ENST00000406548,17,2207,2087,20972.3,23044.4,1.552e+04,5.660e+03,2207,16,0,0,0,258,1391.6
ENSG00000182944,EWSR1,2320826,ENST00000437155,8,933,813,19642.4,18457.7,3.732e+04,1.361e+04,933,7,0,0,0,283,1114.6
ENSG00000182944,EWSR1,2320833,ENST00000415761,6,587,467,10747.6,12347.3,3.555e+04,1.296e+04,587,5,1,557,0,37,745.6
ENSG00000182944,EWSR1,2320844,ENST00000331029,15,2267,2147,43465.2,41789.7,3.127e+04,1.140e+04,2264,13,0,0,0,259,2523.5
ENSG00000182944,EWSR1,2320858,ENST00000483415,8,3231,3111,8581.8,9257.0,4.261e+03,1.554e+03,2008,7,0,0,0,215,559.0
ENSG00000182944,EWSR1,2320923,ENST00000414183,18,2189,2069,5347.5,6117.1,3.992e+03,1.456e+03,2189,17,0,0,0,259,369.4
ENSG00000182944,EWSR1,2320981,ENST00000333395,9,1265,1145,16133.5,15276.3,2.176e+04,7.936e+03,1265,8,1,37,0,215,922.5
