GeneId,GeneName,Chromosome,GeneLength,IntronicLength,TranscriptCount,GeneSetId,SplicedFragments,UnsplicedFragments,AdjTPM,RawTPM,FitResiduals,LowMapQualFrags
ENSG00000182944,EWSR1,22,32517,22205,21,22_0,160120,11935,2.292e+02,7.588e+04,70033.2,10401.0
ENSG00000171094,ALK,2,728792,721944,4,2_0,12584,2180,3.671e+00,1.176e+03,2189.2,338.0
ENSG00000143924,EML4,2,163198,154867,9,2_1,79576,7403,2.366e+01,9.629e+03,16804.9,1748.0
ENSG00000095002,MSH2,2,159342,154809,6,2_2,39886,3264,1.647e+01,7.391e+03,12164.2,1149.0
ENSG00000135903,PAX3,2,99108,94484,10,2_3,0,1,0.000e+00,0.000e+00,0.1,0.0
ENSG00000132170,PPARG,3,146988,142956,15,3_0,766,121,4.353e-01,2.821e+02,450.1,21.0
ENSG00000132155,RAF1,3,80625,72796,14,3_1,87911,10342,6.323e+01,1.919e+04,27541.3,2092.0
ENSG00000121879,PIK3CA,3,91979,82591,4,3_2,50954,5034,8.384e+00,9.679e+03,27025.4,1544.0
ENSG00000244405,ETV5,3,64010,58228,15,3_3,102034,7935,3.889e+01,1.659e+04,23655.2,1922.0
ENSG00000047936,ROS1,6,137555,129744,3,6_0,7,0,2.055e-04,5.397e-01,8.7,0.0
ENSG00000091831,ESR1,6,472928,459317,13,6_1,1824,316,1.583e+00,2.966e+02,617.1,38.0
ENSG00000096968,JAK2,9,143150,137109,5,9_0,21550,2231,3.108e+00,2.736e+03,2588.1,457.0
ENSG00000171843,MLLT3,9,280879,272766,10,9_1,13161,2347,3.762e+00,2.102e+03,4259.9,675.0
ENSG00000148053,NTRK2,9,355039,338095,9,9_2,366763,21744,4.380e+01,3.106e+04,56290.4,3415.0
ENSG00000097007,ABL1,9,173729,167465,3,9_3,123137,6213,4.265e+01,1.541e+04,20473.6,1280.0
ENSG00000148400,NOTCH1,9,51418,41572,3,9_4,438578,35406,6.573e+01,2.715e+04,38488.9,9665.0
ENSG00000141736,ERBB2,17,42512,32222,24,17_0,12763,1412,1.112e+01,2.344e+03,6690.0,228.0
ENSG00000012048,BRCA1,17,81188,72936,31,17_1,70511,8506,3.046e+01,1.043e+04,28121.9,1146.0
ENSG00000175832,ETV4,17,51776,48184,11,17_2,27487,2833,6.757e+01,8.773e+03,14495.7,467.0
ENSG00000108443,RPS6KB1,17,57478,49850,12,17_3,76650,7667,2.963e+01,1.208e+04,20070.8,3440.0
ENSG00000009709,PAX7,1,117860,111556,3,1_0,6,0,8.580e-04,6.237e-01,3.3,0.0
ENSG00000134250,NOTCH2,1,158064,141298,6,1_1,147379,10371,2.614e+01,9.280e+03,43923.9,5516.0
ENSG00000198400,NTRK1,1,66210,61874,10,1_2,329,103,2.462e-01,7.699e+01,250.2,4.0
ENSG00000117020,AKT3,1,362846,355375,10,1_3,145150,66658,3.013e+01,2.058e+04,25956.1,2408.0
ENSG00000068078,FGFR3,4,15565,10749,9,4_0,17067,1311,2.220e+01,2.609e+03,4103.6,146.0
ENSG00000134853,PDGFRA,4,69150,59447,10,4_1,1072643,55472,1.489e+02,9.549e+04,226884.6,13432.0
ENSG00000157404,KIT,4,82796,77254,4,4_2,12715,580,1.566e+00,1.459e+03,3450.1,233.0
ENSG00000128052,KDR,4,47112,40883,3,4_3,22129,1656,5.326e+00,2.210e+03,3333.4,504.0
ENSG00000182578,CSF1R,5,60081,54953,9,5_0,61754,4334,2.044e+01,1.185e+04,19862.5,1216.0
ENSG00000113721,PDGFRB,5,42035,34923,11,5_1,100468,7635,2.944e+01,1.599e+04,20165.4,1764.0
ENSG00000160867,FGFR4,5,11258,6448,17,5_2,843,148,1.413e+00,2.382e+02,554.4,0.0
ENSG00000006468,ETV1,7,100197,90535,24,7_0,335490,21916,1.185e+02,9.306e+04,108030.3,4655.0
ENSG00000146648,EGFR,7,237599,224673,11,7_1,5627,357,1.456e+00,5.839e+02,1910.3,91.0
ENSG00000105976,MET,7,125996,118912,8,7_2,2445259,136468,2.914e+02,2.823e+05,423174.9,39936.0
ENSG00000157764,BRAF,7,205437,195078,5,7_3,27095,6215,1.734e+01,6.645e+03,11627.1,1175.0
ENSG00000157168,NRG1,8,1125646,1118010,21,8_0,4018,1903,1.464e+00,1.279e+03,2634.2,71.0
ENSG00000077782,FGFR1,8,57696,45023,40,8_1,84181,6692,4.459e+01,2.398e+04,41352.7,1269.0
ENSG00000136997,MYC,8,5994,3002,5,8_2,19581,4213,2.118e+01,5.199e+03,7289.3,366.0
ENSG00000170759,KIF5B,10,47421,41570,2,10_0,269454,19288,4.862e+01,2.642e+04,18212.2,5379.0
ENSG00000165731,RET,10,53324,46683,4,10_1,844,133,3.553e-01,9.448e+01,456.1,16.0
ENSG00000066468,FGFR2,10,120124,112612,22,10_2,25986,3004,1.880e+01,4.119e+03,14008.9,515.0
ENSG00000118058,KMT2A,11,90334,68417,15,11_0,499439,30446,4.439e+01,1.931e+04,137337.8,6363.0
ENSG00000134954,ETS1,11,128797,121658,10,11_1,92991,6514,1.782e+01,1.388e+04,28191.6,831.0
ENSG00000151702,FLI1,11,126732,118266,10,11_2,16190,1118,7.309e+00,4.000e+03,7297.3,273.0
ENSG00000135446,CDK4,12,8286,5128,16,12_0,65255,10042,1.143e+02,4.048e+04,52151.2,1520.0
ENSG00000122025,FLT3,13,97318,93176,5,13_0,139,66,5.439e-02,6.905e+01,76.2,56.0
ENSG00000102755,FLT1,13,194776,186739,5,13_1,45048,24363,1.461e+01,6.338e+03,8356.0,1177.0
ENSG00000139618,BRCA2,13,84194,72955,6,13_2,47516,4363,5.924e+00,2.697e+03,7626.9,512.0
ENSG00000140538,NTRK3,15,381769,372724,20,15_0,145803,16871,6.140e+01,3.449e+04,51380.0,2142.0
ENSG00000171791,BCL2,18,196782,189120,5,18_0,25091,1590,9.416e+00,4.233e+03,2572.0,117.0
ENSG00000074181,NOTCH3,19,41348,32582,6,19_0,152005,10747,2.908e+01,1.113e+04,49829.0,2644.0
ENSG00000167601,AXL,19,42563,37431,5,19_1,32013,2996,6.842e+00,4.830e+03,12414.9,548.0
ENSG00000157554,ERG,21,281755,273773,16,21_0,9102,953,3.790e+00,1.974e+03,3112.4,301.0
ENSG00000184012,TMPRSS2,21,66565,60467,11,21_1,202,0,1.674e-01,4.119e+01,125.6,2.0
ENSG00000169083,AR,X,185996,173914,6,X_0,10851,1521,4.528e+00,8.447e+02,963.1,567.0
