GeneSetId,GeneCount,Chromosome,RangeStart,RangeEnd,TotalFragments,Duplicates,SupportingTrans,Unspliced,AltSJ,Chimeric,LowMapQual,ForwardStrand,ReverseStrand,Genes
6_0,1,6,117609463,117747018,453,242,7,0,0,0,0,4,3,ROS1
13_0,1,13,28577411,28674729,480,409,173,78,94,1,56,44,129,FLT3
1_0,1,1,18957500,19075360,3621,1962,6,0,0,1,0,2,4,PAX7
3_0,1,3,12328867,12475855,1970,1614,778,122,75,5,21,388,390,PPARG
6_1,1,6,151977826,152450754,3262,2663,1852,309,61,2,38,964,888,ESR1
2_0,1,2,29415640,30144432,21729,19015,12628,2224,2324,3,338,5998,6630,ALK
8_0,1,8,31496902,32622548,8886,7655,3977,1981,344,59,71,1946,2031,NRG1
18_0,1,18,60790579,60987361,36061,30514,25105,1583,279,10,117,12240,12865,BCL2
9_0,1,9,4985033,5128183,34209,28910,21797,2214,3381,1,457,11158,10639,JAK2
4_0,1,4,1795034,1810599,29151,24870,17391,1031,2142,4,146,8689,8702,FGFR3
17_0,1,17,37844167,37886679,21016,18352,13090,1197,2379,7,228,6525,6565,ERBB2
9_1,1,9,20341663,20622542,22922,18954,13343,2238,1269,12,675,6465,6878,MLLT3
13_1,1,13,28874489,29069265,98451,84409,47235,22714,7152,15,1177,21826,25409,FLT1
5_0,1,5,149432854,149492935,92022,82006,62381,4095,8683,151,1216,30000,32381,CSF1R
13_2,1,13,32889611,32973805,71789,60158,48331,3704,3326,7,512,23394,24937,BRCA2
12_0,1,12,58141510,58149796,109193,97736,68919,7610,10171,38,1520,34223,34696,CDK4
2_1,1,2,42396490,42559688,123479,106707,80737,7051,9979,15,1748,40854,39883,EML4
X_0,1,X,66764465,66950461,18126,15448,11066,1364,256,3,567,5502,5564,AR
21_0,1,21,39751949,40033704,13690,11759,9194,919,518,0,301,4242,4952,ERG
21_1,1,21,42836478,42903043,407,331,202,0,49,0,2,116,86,TMPRSS2
3_1,1,3,12625100,12705725,168623,147786,89289,9951,16771,27,2092,42832,46457,RAF1
1_1,1,1,120454176,120612240,237067,208256,148459,9537,11329,92,5516,72409,76050,NOTCH2
19_0,1,19,15270444,15311792,226923,201254,154414,9172,16796,139,2644,74204,80210,NOTCH3
2_2,1,2,47630108,47789450,71378,59551,40683,3154,5894,1,1149,20647,20036,MSH2
2_3,1,2,223064607,223163715,8604,5594,0,1,0,0,0,0,0,PAX3
1_2,1,1,156785432,156851642,26683,21975,355,77,91,0,4,192,163,NTRK1
5_1,1,5,149493400,149535435,153153,135732,102063,6685,12056,117,1764,48817,53246,PDGFRB
5_2,1,5,176513887,176525145,2160,1706,863,128,227,5,0,432,431,FGFR4
19_1,1,19,41725108,41767671,51425,44329,32555,2745,3771,47,548,16362,16193,AXL
3_2,1,3,178865902,178957881,103564,87484,52246,4399,6486,31,1544,26238,26008,PIK3CA
17_1,1,17,41196312,41277500,114251,97838,71978,7463,6208,10,1146,32698,39280,BRCA1
15_0,1,15,88418230,88799999,229824,204775,147385,16378,18731,145,2142,70013,77372,NTRK3
17_2,1,17,41605212,41656988,49066,41233,27751,2649,4928,9,467,13411,14340,ETV4
10_0,1,10,32297938,32345359,420993,369561,274165,17313,51061,106,5379,127493,146672,KIF5B
10_1,1,10,43572475,43625799,3537,2407,866,122,64,0,16,461,405,RET
8_1,1,8,38268656,38326352,131475,115791,85737,5966,12359,40,1269,40987,44750,FGFR1
8_2,1,8,128747680,128753674,34761,29621,21056,2852,932,7,366,10130,10926,MYC
3_3,1,3,185764097,185828107,151133,131267,103191,7402,10351,7,1922,49191,54000,ETV5
10_2,1,10,123237848,123357972,43358,37232,26377,2877,3224,28,515,12655,13722,FGFR2
17_3,1,17,57970447,58027925,117592,99625,77722,7337,5398,107,3440,39362,38360,RPS6KB1
1_3,1,1,243651535,244014381,305168,265929,150509,62062,15062,138,2408,71031,79478,AKT3
22_0,1,22,29663998,29696515,255769,231522,168283,9916,34857,120,10401,84131,84152,EWSR1
9_2,1,9,87283466,87638505,535115,473133,369327,19862,15893,97,3415,189217,180110,NTRK2
9_3,1,9,133589333,133763062,196590,171852,123758,5951,7105,55,1280,61332,62426,ABL1
11_0,1,11,118307205,118397539,715854,630886,507593,24605,23806,195,6363,252502,255091,KMT2A
11_1,1,11,128328656,128457453,140257,121736,93648,6117,6106,26,831,44553,49095,ETS1
7_0,1,7,13930853,14031050,488878,433442,339074,20411,30301,257,4655,157392,181682,ETV1
7_1,1,7,55086714,55324313,11154,8776,5673,345,549,0,91,2605,3068,EGFR
11_2,1,11,128556430,128683162,23230,20142,16412,998,1104,7,273,8247,8165,FLI1
9_4,1,9,139388896,139440314,673828,604658,447975,30490,60588,410,9665,208631,239344,NOTCH1
4_1,1,4,55095264,55164414,1580755,1449988,1083862,49153,102886,462,13432,550439,533423,PDGFRA
4_2,1,4,55524085,55606881,19090,16192,12891,538,1328,82,233,6646,6245,KIT
4_3,1,4,55944644,55991756,35860,31480,22526,1518,4243,2,504,10458,12068,KDR
7_2,1,7,116312444,116438440,3629656,3406265,2471622,128574,224625,897,39936,1250229,1221393,MET
7_3,1,7,140419127,140624564,57464,49762,28210,5592,7529,45,1175,13435,14775,BRAF
