GeneId,GeneName,Chromosome,Strand,Position,Type,FragCount,SplicedFragCount,TotalDepth,TranscriptInfo
ENSG00000122025,FLT3,13,-1,28611425,ACCEPTOR,2,1,2,ENST00000241453-10;ENST00000380987-10;ENST00000380982-10;ENST00000537084-10
ENSG00000132170,PPARG,3,1,12330633,DONOR,3,0,7,ENST00000397026-1;ENST00000497594-1;ENST00000455517-1;ENST00000397012-1
ENSG00000132170,PPARG,3,1,12434251,DONOR,3,0,14,ENST00000397010-5;ENST00000309576-5;ENST00000397015-4;ENST00000397012-5;ENST00000397026-6;ENST00000497594-5;ENST00000397000-4;ENST00000477039-4;ENST00000287820-4;ENST00000397023-5;ENST00000396999-3;ENST00000539812-4
ENSG00000091831,ESR1,6,1,152023140,DONOR,4,1,22,ENST00000473497-2;ENST00000404742-2;ENST00000440973-2
ENSG00000091831,ESR1,6,1,152332929,DONOR,1,1,3,ENST00000338799-6;ENST00000206249-5;ENST00000427531-5;ENST00000415488-2;ENST00000440973-7;ENST00000456483-5;ENST00000443427-6
ENSG00000171094,ALK,2,-1,29416788,ACCEPTOR,12,5,64,ENST00000389048-29
ENSG00000171094,ALK,2,-1,29419636,DONOR,14,0,71,ENST00000389048-28
ENSG00000171094,ALK,2,-1,29419726,ACCEPTOR,14,1,74,ENST00000389048-28
ENSG00000171094,ALK,2,-1,29420408,DONOR,5,0,51,ENST00000389048-27
ENSG00000171094,ALK,2,-1,29420542,ACCEPTOR,23,1,70,ENST00000389048-27
ENSG00000171094,ALK,2,-1,29430037,DONOR,5,0,46,ENST00000389048-26
ENSG00000171094,ALK,2,-1,29430138,ACCEPTOR,12,5,49,ENST00000389048-26
ENSG00000171094,ALK,2,-1,29432652,DONOR,6,0,51,ENST00000389048-25
ENSG00000171094,ALK,2,-1,29432744,ACCEPTOR,3,1,35,ENST00000389048-25
ENSG00000171094,ALK,2,-1,29436850,DONOR,3,0,38,ENST00000389048-24
ENSG00000171094,ALK,2,-1,29436947,ACCEPTOR,5,1,45,ENST00000389048-24
ENSG00000171094,ALK,2,-1,29443701,ACCEPTOR,12,4,55,ENST00000389048-23
ENSG00000171094,ALK,2,-1,29445210,DONOR,7,0,56,ENST00000389048-22;ENST00000453137-3
ENSG00000171094,ALK,2,-1,29445473,ACCEPTOR,3,3,51,ENST00000389048-21;ENST00000453137-2
ENSG00000171094,ALK,2,-1,29446394,ACCEPTOR,3,2,19,ENST00000389048-20
ENSG00000171094,ALK,2,-1,29448431,ACCEPTOR,2,1,20,ENST00000389048-19
ENSG00000171094,ALK,2,-1,29449940,ACCEPTOR,6,4,31,ENST00000389048-18
ENSG00000171094,ALK,2,-1,29450440,DONOR,6,0,36,ENST00000389048-17
ENSG00000171094,ALK,2,-1,29450538,ACCEPTOR,8,1,17,ENST00000389048-17
ENSG00000171094,ALK,2,-1,29451750,DONOR,8,0,14,ENST00000389048-16
ENSG00000171094,ALK,2,-1,29451932,ACCEPTOR,6,1,16,ENST00000389048-16
ENSG00000171094,ALK,2,-1,29455170,DONOR,8,0,19,ENST00000389048-15
ENSG00000171094,ALK,2,-1,29455314,ACCEPTOR,8,3,16,ENST00000389048-15
ENSG00000171094,ALK,2,-1,29456562,ACCEPTOR,4,0,60,ENST00000389048-14
ENSG00000171094,ALK,2,-1,29462696,ACCEPTOR,4,3,25,ENST00000389048-13
ENSG00000171094,ALK,2,-1,29474133,ACCEPTOR,7,4,48,ENST00000389048-12
ENSG00000171094,ALK,2,-1,29498362,ACCEPTOR,2,2,69,ENST00000389048-10
ENSG00000171094,ALK,2,-1,29519923,ACCEPTOR,3,1,47,ENST00000389048-9;ENST00000498037-3
ENSG00000171094,ALK,2,-1,29541170,DONOR,3,0,52,ENST00000389048-8;ENST00000498037-2
ENSG00000171094,ALK,2,-1,29541270,ACCEPTOR,12,10,110,ENST00000389048-8;ENST00000498037-2
ENSG00000171094,ALK,2,-1,29543617,DONOR,3,0,112,ENST00000389048-7
ENSG00000171094,ALK,2,-1,29543748,ACCEPTOR,3,0,38,ENST00000389048-7
ENSG00000171094,ALK,2,-1,29551216,DONOR,4,0,38,ENST00000389048-6
ENSG00000171094,ALK,2,-1,29551347,ACCEPTOR,2,1,36,ENST00000389048-6
ENSG00000171094,ALK,2,-1,29606725,ACCEPTOR,4,2,26,ENST00000389048-5
ENSG00000171094,ALK,2,-1,29754781,DONOR,8,0,35,ENST00000389048-4
ENSG00000171094,ALK,2,-1,29754982,ACCEPTOR,4,1,45,ENST00000389048-4
ENSG00000171094,ALK,2,-1,29917716,DONOR,3,0,40,ENST00000389048-3
